Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
809,Security & Vulnerability Management,Orange,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
810,SRE Delivery: Chaos Engineering,Green,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
811,Security & Vulnerability Management,Yellow,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
812,Security & Vulnerability Management,Orange,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
813,Security & Vulnerability Management,Green,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
814,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
815,Migrated Delivery,Black,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
816,Acquisitions ART Production Support,Red,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
817,Acquisitions ART Production Support,Yellow,Maintenance,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
818,Migrated Delivery,Green,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM,Migrated + Green + CI → Other Blocked Priority
819,SRE Delivery: Chaos Engineering,Green,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
820,SRE Delivery: Chaos Engineering,Black,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
821,Security & Vulnerability Management,Yellow,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
822,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
823,Security & Vulnerability Management,Orange,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
824,Migrated Delivery,Orange,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
825,Acquisitions ART Production Support,Yellow,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
826,Security & Vulnerability Management,Red,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
827,Continuous Improvement Feature,Yellow,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
828,Migrated Delivery,Red,Business Functionality,Address technical debt introduced during migration to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red + Business Functionality → KTLO (urgent post-migration)
829,Security & Vulnerability Management,Black,Production Support,Remediate identified vulnerabilities in shared services to support production operations,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Production Support + Security + regulatory keywords → Regulatory Operational
830,Security & Vulnerability Management,Orange,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
831,Migrated Delivery,Yellow,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
832,Migrated Delivery,Red,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
833,SRE Delivery: Chaos Engineering,Green,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
834,Acquisitions ART Production Support,Red,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
835,Migrated Delivery,Red,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
836,Security & Vulnerability Management,Red,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
837,Continuous Improvement Feature,Orange,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
838,Acquisitions ART Production Support,Black,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
839,Security & Vulnerability Management,Black,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
840,Security & Vulnerability Management,Orange,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
841,Acquisitions ART Production Support,Black,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
842,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
843,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
844,Acquisitions ART Production Support,Red,Production Support,Address production support gaps impacting acquisition flows to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
845,Continuous Improvement Feature,Orange,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
846,Security & Vulnerability Management,Black,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
847,Security & Vulnerability Management,Red,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
848,Security & Vulnerability Management,Orange,Business Functionality,Remediate identified vulnerabilities in shared services to enable required business functionality,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
849,Security & Vulnerability Management,Yellow,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
850,Continuous Improvement Feature,Black,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
851,Migrated Delivery,Orange,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
852,Continuous Improvement Feature,Red,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
853,SRE Delivery: Chaos Engineering,Black,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
854,Continuous Improvement Feature,Red,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
855,Acquisitions ART Production Support,Yellow,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
856,Continuous Improvement Feature,Green,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
857,Continuous Improvement Feature,Orange,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
858,Acquisitions ART Production Support,Yellow,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
859,Continuous Improvement Feature,Green,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
860,Security & Vulnerability Management,Green,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
861,Acquisitions ART Production Support,Orange,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
862,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
863,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
864,Acquisitions ART Production Support,Green,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
865,Continuous Improvement Feature,Red,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
866,Security & Vulnerability Management,Orange,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
867,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
868,Security & Vulnerability Management,Orange,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
869,SRE Delivery: Chaos Engineering,Black,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
870,SRE Delivery: Chaos Engineering,Green,Production Support,Refine chaos experiment execution and rollback mechanisms to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
871,SRE Delivery: Chaos Engineering,Black,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
872,Continuous Improvement Feature,Yellow,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
873,Continuous Improvement Feature,Green,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
874,Security & Vulnerability Management,Green,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
875,Acquisitions ART Production Support,Red,Production Support,Stabilize acquisition-related batch processing to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH,Production Support work category → KTLO
876,Acquisitions ART Production Support,Red,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
877,Continuous Improvement Feature,Orange,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
878,Acquisitions ART Production Support,Green,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
879,SRE Delivery: Chaos Engineering,Orange,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
880,Security & Vulnerability Management,Black,Production Support,Remediate identified vulnerabilities in shared services to support production operations,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Production Support + Security + regulatory keywords → Regulatory Operational
881,Acquisitions ART Production Support,Red,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
882,Continuous Improvement Feature,Yellow,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
883,SRE Delivery: Chaos Engineering,Yellow,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
884,Security & Vulnerability Management,Yellow,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
885,SRE Delivery: Chaos Engineering,Yellow,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
886,Acquisitions ART Production Support,Yellow,Business Functionality,Resolve operational issues affecting downstream integrations to enable required business functionality,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
887,Continuous Improvement Feature,Green,Maintenance,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Pre-classified as Technical Maintenance
888,Acquisitions ART Production Support,Orange,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
889,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
890,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
891,Acquisitions ART Production Support,Red,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
892,Continuous Improvement Feature,Black,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
893,Migrated Delivery,Green,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
894,Acquisitions ART Production Support,Green,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
895,Migrated Delivery,Orange,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
896,Continuous Improvement Feature,Red,Maintenance,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Pre-classified as Technical Maintenance
897,Migrated Delivery,Red,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
898,SRE Delivery: Chaos Engineering,Black,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
899,Security & Vulnerability Management,Red,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
900,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
901,Acquisitions ART Production Support,Red,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
902,Migrated Delivery,Black,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
903,Migrated Delivery,Black,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
904,Migrated Delivery,Orange,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
905,Migrated Delivery,Black,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
906,Continuous Improvement Feature,Red,Enablers,Refactor pipeline components to reduce operational overhead to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
907,SRE Delivery: Chaos Engineering,Black,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
908,Migrated Delivery,Green,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
909,Continuous Improvement Feature,Green,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
910,Security & Vulnerability Management,Black,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
911,Acquisitions ART Production Support,Black,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
912,Acquisitions ART Production Support,Red,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
913,Migrated Delivery,Orange,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
914,SRE Delivery: Chaos Engineering,Yellow,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
915,Continuous Improvement Feature,Red,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
916,SRE Delivery: Chaos Engineering,Orange,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
917,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
918,Acquisitions ART Production Support,Yellow,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
919,Migrated Delivery,Green,Continuous Improvement,Stabilize workloads following platform migration to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM,Migrated + Green + CI → Other Blocked Priority
920,Security & Vulnerability Management,Green,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
921,Continuous Improvement Feature,Orange,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
922,Continuous Improvement Feature,Orange,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
923,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
924,SRE Delivery: Chaos Engineering,Yellow,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
925,Continuous Improvement Feature,Black,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
926,Continuous Improvement Feature,Green,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
927,Continuous Improvement Feature,Red,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
928,SRE Delivery: Chaos Engineering,Green,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
929,Migrated Delivery,Orange,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
930,SRE Delivery: Chaos Engineering,Orange,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
931,SRE Delivery: Chaos Engineering,Orange,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
932,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
933,SRE Delivery: Chaos Engineering,Red,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
934,Security & Vulnerability Management,Yellow,Business Functionality,Remediate identified vulnerabilities in shared services to enable required business functionality,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
935,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
936,Continuous Improvement Feature,Green,Production Support,Optimize deployment workflows for improved reliability to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
937,Continuous Improvement Feature,Black,Enablers,Refactor pipeline components to reduce operational overhead to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
938,Acquisitions ART Production Support,Black,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
939,SRE Delivery: Chaos Engineering,Yellow,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
940,SRE Delivery: Chaos Engineering,Green,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
941,Acquisitions ART Production Support,Black,Business Functionality,Resolve operational issues affecting downstream integrations to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
942,Migrated Delivery,Red,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red + Business Functionality → KTLO (urgent post-migration)
943,Migrated Delivery,Yellow,Production Support,Address technical debt introduced during migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
944,Security & Vulnerability Management,Red,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
