Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
761,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
762,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
763,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
764,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
765,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
766,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
767,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
768,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
769,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
770,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
771,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
772,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
773,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
774,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
775,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
776,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
777,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
778,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
779,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
780,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
781,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
782,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
783,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
784,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
785,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
786,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
787,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
788,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
789,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
790,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
791,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
792,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
793,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
794,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
795,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
796,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
797,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
798,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
799,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
800,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
801,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
802,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
803,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
804,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
805,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
806,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
807,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
808,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
809,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
810,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
811,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
812,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
813,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
814,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
815,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
816,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
817,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
818,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
819,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
820,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
821,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
822,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
823,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
824,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
825,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
826,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
827,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
828,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
829,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
830,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
831,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
832,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
833,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
834,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
835,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
836,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
837,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
838,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
839,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
840,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
841,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
842,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
843,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
844,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
845,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
846,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
847,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
848,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
849,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
850,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
851,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
852,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
853,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
854,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
855,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
856,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
857,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
858,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
859,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
860,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
861,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
862,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
863,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
864,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
865,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
866,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
867,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
868,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
869,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
870,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
871,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
872,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
873,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
874,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
875,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
876,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
877,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
878,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
879,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
880,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
881,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
882,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
883,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
884,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
885,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
886,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
887,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
888,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
889,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
890,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
891,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
892,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
893,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
894,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
895,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
896,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
897,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
898,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
899,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
900,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
901,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
902,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
903,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
904,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
905,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
906,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
907,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
908,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
909,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
910,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
911,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
912,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
913,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
914,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
915,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
916,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
917,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
918,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
919,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
920,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
921,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
922,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
923,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
924,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
925,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
926,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
927,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
928,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
929,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
930,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
931,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
932,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
933,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
934,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
935,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
936,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
937,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
938,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
939,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
940,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
941,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
942,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
943,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
944,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
945,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
946,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
947,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
948,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
949,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
950,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
951,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
952,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
953,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
954,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
